"UserID","UserNo","Name","Email","IP Address","Unique ID","Started","Ended","Q1. Overall, how did you feel about the service you received today?","Q2. How could we improve this service?","Q3. What Licensing task did you need to carry out today?","Q4. How easy was it to complete this task?","Q5. If you found it fairly or extremely difficult to complete this task, please could you say why this was?"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"48112904","1","","","","","14/11/2016 13:36:00","14/11/2016 13:37:00","Very dissatisfied","Go back to the old service","Find licensing information","Extremely difficult","rubbish"
"48112920","2","","","","","14/11/2016 13:36:00","14/11/2016 13:37:00","Very satisfied","No need at present","Sign in to my existing account","Extremely easy",-
"48113762","3","","","","","14/11/2016 13:46:00","14/11/2016 13:47:00","Satisfied","no comment","Sign in to my existing account","Neither easy nor difficult",-
"48114025","4","","","","","14/11/2016 13:50:00","14/11/2016 13:51:00","Neither satisfied nor dissatisfied","Ability to search by date of application","Bus registrations","Extremely difficult","Cannot see what changes have been registered today"
"48113972","5","","","","","14/11/2016 13:49:00","14/11/2016 13:51:00","Very satisfied","Do not change any of the format","Make changes to my existing Operator’s Licence","Extremely easy",-
"48114035","6","","","","","14/11/2016 13:50:00","14/11/2016 13:51:00","Very dissatisfied","Revert to the old search facility.","Find licensing information","Extremely difficult","Can no longer do a summary search of each traffic area on a daily basis."
"48114215","7","","","","","14/11/2016 13:53:00","14/11/2016 13:55:00","Neither satisfied nor dissatisfied","There are no clear instruction on how to use the service. I wanted to order a new disc for a vehicle, but there were no instructions as to select a vehicle and then go to more information to get to the drop down screen and after the request it did not confirm that this will be done..","Find licensing information","Fairly difficult ","Lack of direction as to how to use the drop down information on the system and lack of confirmation that the request had been done."
"48115733","8","","","","","14/11/2016 14:11:00","14/11/2016 14:14:00","Dissatisfied","Make it easier to use ","Sign in to my existing account","Fairly difficult ","Because it was easier in the last month before you changed it "
"48116286","9","","","","","14/11/2016 14:19:00","14/11/2016 14:20:00","Very dissatisfied","Make it more user friendly","Make changes to my existing Operator’s Licence","Extremely difficult","I needed to have more help information which wasn't there"
"48116354","10","","","","","14/11/2016 14:20:00","14/11/2016 14:20:00","Very satisfied","N/A","Find licensing information","Extremely easy",-
"48116636","11","","","","","14/11/2016 14:24:00","14/11/2016 14:27:00","Very dissatisfied","Provide instructions","Make changes to my existing Operator’s Licence","Extremely difficult","No instructions provided"
"48116633","12","","","","","14/11/2016 14:24:00","14/11/2016 14:27:00","Very dissatisfied","Provide instructions. are we able to go back to the original Vosa, it is a lot quicker and easier to use. ","Make changes to my existing Operator’s Licence","Extremely difficult","You have to go into many more screens to complete adding and removing vehicles. "
"48116399","13","","","","","14/11/2016 14:21:00","14/11/2016 14:30:00","Dissatisfied","Very poor. Why take the day-by-day search to view the immediate new submissions? The joy of the old system was being able to leave search term boxes blank in order to bring back everything for a particular region area/status.  - One box for search is pretty unacceptable for the amount of information to be filtered on and results brought back, which was evident from the old system with multi-search?? operator number and service search for example. ","Bus registrations","Neither easy nor difficult",-
